state_en,name_en,state_ar,name_ar
Bethlehem,Hindaza,بيت لحم,هندازة
Bethlehem,Wadi Umm Qalaa',بيت لحم,وادي أم قلعة
Bethlehem,Khallet Al-Louz,بيت لحم,خلة اللوزة
Bethlehem,Thahrt Al-Nada,بيت لحم,ظهرة الندى
Bethlehem,Wadi Al-Nes,بيت لحم,وادي النيص
Bethlehem,Khirbet al-Nakhlah,بيت لحم,خربة النخلة
Bethlehem,Wadi Rahhal,بيت لحم,وادي رحال
Bethlehem,Wadi Fukin,بيت لحم,وادي فوكين
Bethlehem,Khirbet Beit Zakariyyah,بيت لحم,خربة بيت زكريا
Bethlehem,Maraja',بيت لحم,مراجع
Bethlehem,Al-Khidr,بيت لحم,الخضر
Bethlehem,Doha,بيت لحم,الدوحة
Bethlehem,"al-Ubeidiya
",بيت لحم,العبيدية
Bethlehem,Battir,بيت لحم,بتير
Bethlehem,Beit Fajjar,بيت لحم,بيت فجار
Bethlehem,Tuqu',بيت لحم,تقوع
Bethlehem,Jannata,بيت لحم,جناتا
Bethlehem,Za'atara,بيت لحم,زعترة
Bethlehem,Aida Camp,بيت لحم,مخيم عايدة
Bethlehem,Azza Camp,بيت لحم,مخيم العزة
Bethlehem,Dheisha Camp,بيت لحم,مخيم الدهيشة
Bethlehem,Wadi al-Arayis,بيت لحم, وادي العرايس
Bethlehem,Al Hadaydah,بيت لحم,الحدايدة
Bethlehem,"Khirbet Tuqu'
",بيت لحم, خربة تقوع
Bethlehem,"Khirbet al-Deir
",بيت لحم,خربة الدير
Bethlehem,Halkum,بيت لحم,الحلقوم
Bethlehem,Asakra,بيت لحم,العساكرة
Bethlehem,Rakhma,بيت لحم,رخمة
Hebron,Hebron,الخليل,الخليل
Hebron,Yatta,الخليل,يطا
Hebron,Dura,الخليل, دورا
Hebron,ad-Dhahiriya,الخليل,الظاهرية
Hebron,Halhul,الخليل,حلحول
Hebron,as-Samu,الخليل,السموع
Hebron,"Bani Na'im
",الخليل,بني نعيم
Hebron,"Ajjur
",الخليل, عجور
Hebron,"Al-Dawayima
",الخليل,الدوايمة
Hebron,Bayt Jibrin,الخليل,بيت جبرين
Hebron,Zikrin,الخليل,ذكرين
Hebron,Tell es-Safi,الخليل,تل الصافي
Hebron,Barqusya,الخليل,بركوسيا
Hebron,Bani Na'im,الخليل,بني نعيم
Hebron,Beit Awwa,الخليل,بيت عوا
Hebron,Beit Ula,الخليل,بيت اولا
Hebron,Beit Ummar,الخليل,بيت أمر
Hebron,Deir Sammit,الخليل,دير سامت
Hebron,Idhna,الخليل,إذنا
Hebron,Khrssa,الخليل,خرسا
Hebron,Nuba,الخليل,نوبا
Hebron,Sa'ir,الخليل,سعير
Hebron,Beit Kahil,الخليل,بيت كاحل
Hebron,Surif,الخليل,صوريف
Hebron,ar-Rihiya,الخليل,الريحية
Hebron,Fawwar,الخليل,الفوار
